# z; xe; Te
1.000000000000000021e-03 1.727464900000000097e-04 2.182318269999999893e-02
5.060404040000000547e-01 1.748430700000000112e-04 4.939115639999999696e-02
1.011080809999999941e+00 1.769157930000000122e-04 8.804935519999999849e-02
1.516121210000000108e+00 1.788357370000000007e-04 1.377827199999999974e-01
2.021161619999999992e+00 1.805926289999999887e-04 1.985741719999999932e-01
2.526202019999999937e+00 1.822060710000000111e-04 2.704048039999999986e-01
3.031242419999999882e+00 1.836986870000000081e-04 3.532540129999999778e-01
3.536282830000000210e+00 1.850899990000000090e-04 4.470996099999999807e-01
4.041323229999999711e+00 1.863957699999999930e-04 5.519179250000000314e-01
4.546363640000000039e+00 1.876285510000000073e-04 6.676839020000000513e-01
5.051404040000000428e+00 1.887983720000000084e-04 7.943711770000000394e-01
5.556444439999999929e+00 1.899133269999999903e-04 9.319521499999999792e-01
6.061484850000000257e+00 1.909800199999999923e-04 1.080398050000000110e+00
6.566525249999999758e+00 1.920039060000000098e-04 1.239679009999999915e+00
7.071565660000000086e+00 1.929895359999999910e-04 1.409764079999999975e+00
7.576606059999999587e+00 1.939407469999999999e-04 1.590621309999999955e+00
8.081646459999999976e+00 1.948608080000000116e-04 1.782217820000000064e+00
8.586686869999999416e+00 1.957525240000000124e-04 1.984519759999999966e+00
9.091727269999999805e+00 1.966183199999999888e-04 2.197492439999999991e+00
9.596767679999999245e+00 1.974603110000000008e-04 2.421100309999999922e+00
1.010180809999999951e+01 1.982803530000000047e-04 2.655307010000000023e+00
1.060684849999999990e+01 1.990800829999999917e-04 2.900075419999999848e+00
1.111188890000000029e+01 1.998609529999999875e-04 3.155367660000000019e+00
1.161692930000000068e+01 2.006242579999999946e-04 3.421145160000000018e+00
1.212196969999999929e+01 2.013711580000000128e-04 3.697368650000000034e+00
1.262701009999999968e+01 2.021026969999999904e-04 3.983998199999999823e+00
1.313205050000000007e+01 2.028198180000000085e-04 4.280993259999999800e+00
1.363709090000000046e+01 2.035233760000000115e-04 4.588312669999999649e+00
1.414213130000000085e+01 2.042141490000000078e-04 4.905914690000000355e+00
1.464717169999999946e+01 2.048928470000000064e-04 5.233757019999999649e+00
1.515221209999999985e+01 2.055601210000000082e-04 5.571796820000000316e+00
1.565725250000000024e+01 2.062165659999999937e-04 5.919990740000000251e+00
1.616229290000000063e+01 2.068627330000000111e-04 6.278294930000000384e+00
1.666733329999999924e+01 2.074991290000000130e-04 6.646665070000000064e+00
1.717237370000000141e+01 2.081262239999999918e-04 7.025056389999999595e+00
1.767741410000000002e+01 2.087444510000000062e-04 7.413423660000000304e+00
1.818245449999999863e+01 2.093542139999999868e-04 7.811721249999999728e+00
1.868749490000000080e+01 2.099558919999999914e-04 8.219903139999999553e+00
1.919253540000000058e+01 2.105498330000000117e-04 8.637922890000000464e+00
1.969757579999999919e+01 2.111363670000000032e-04 9.065733720000000773e+00
